ENSEMBL	isTF
ENSG00000273274	YES
ENSG00000180613	YES
ENSG00000121068	YES
ENSG00000125618	YES
ENSG00000157613	YES
ENSG00000163623	YES
ENSG00000172888	YES
ENSG00000197008	YES
ENSG00000175105	YES
ENSG00000198914	YES
ENSG00000180318	YES
ENSG00000135638	YES
ENSG00000250312	YES
ENSG00000119614	YES
ENSG00000064835	YES
ENSG00000131759	YES
ENSG00000164438	YES
ENSG00000043355	YES
ENSG00000167380	YES
ENSG00000198482	YES
ENSG00000267022	YES
ENSG00000113580	YES
ENSG00000169635	YES
ENSG00000198342	YES
ENSG00000175592	YES
ENSG00000188786	YES
ENSG00000060138	YES
ENSG00000196946	YES
ENSG00000123405	YES
ENSG00000173976	YES
ENSG00000185591	YES
ENSG00000116017	YES
ENSG00000128610	YES
ENSG00000176946	YES
ENSG00000187607	YES
ENSG00000164379	YES
ENSG00000160224	YES
ENSG00000185669	YES
ENSG00000267680	YES
ENSG00000168874	YES
ENSG00000085276	YES
ENSG00000124459	YES
ENSG00000251192	YES
ENSG00000198205	YES
ENSG00000147488	YES
ENSG00000148826	YES
ENSG00000156853	YES
ENSG00000173275	YES
ENSG00000275111	YES
ENSG00000114126	YES
ENSG00000089775	YES
ENSG00000105229	YES
ENSG00000188290	YES
ENSG00000166716	YES
ENSG00000184937	YES
ENSG00000168826	YES
ENSG00000196092	YES
ENSG00000197063	YES
ENSG00000152475	YES
ENSG00000170122	YES
ENSG00000107485	YES
ENSG00000215271	YES
ENSG00000198393	YES
ENSG00000121903	YES
ENSG00000106511	YES
ENSG00000176399	YES
ENSG00000189042	YES
ENSG00000172818	YES
ENSG00000167157	YES
ENSG00000204103	YES
ENSG00000005801	YES
ENSG00000186376	YES
ENSG00000078043	YES
ENSG00000129654	YES
ENSG00000134317	YES
ENSG00000172059	YES
ENSG00000115966	YES
ENSG00000102908	YES
ENSG00000059728	YES
ENSG00000166949	YES
ENSG00000173253	YES
ENSG00000125492	YES
ENSG00000123411	YES
ENSG00000198182	YES
ENSG00000165891	YES
ENSG00000272602	YES
ENSG00000244405	YES
ENSG00000178662	YES
ENSG00000221869	YES
ENSG00000188295	YES
ENSG00000122145	YES
ENSG00000131845	YES
ENSG00000139445	YES
ENSG00000149922	YES
ENSG00000177494	YES
ENSG00000197921	YES
ENSG00000167637	YES
ENSG00000181690	YES
ENSG00000196700	YES
ENSG00000256229	YES
ENSG00000122515	YES
ENSG00000132604	YES
ENSG00000108064	YES
ENSG00000178177	YES
ENSG00000177683	YES
ENSG00000125878	YES
ENSG00000162086	YES
ENSG00000164104	YES
ENSG00000179388	YES
ENSG00000187801	YES
ENSG00000158773	YES
ENSG00000136535	YES
ENSG00000175387	YES
ENSG00000197279	YES
ENSG00000005073	YES
ENSG00000162761	YES
ENSG00000106852	YES
ENSG00000204920	YES
ENSG00000170631	YES
ENSG00000256294	YES
ENSG00000130182	YES
ENSG00000275410	YES
ENSG00000196826	YES
ENSG00000106031	YES
ENSG00000150051	YES
ENSG00000184058	YES
ENSG00000187792	YES
ENSG00000170265	YES
ENSG00000112238	YES
ENSG00000197362	YES
ENSG00000152433	YES
ENSG00000163508	YES
ENSG00000120094	YES
ENSG00000189298	YES
ENSG00000179930	YES
ENSG00000169057	YES
ENSG00000011451	YES
ENSG00000130803	YES
ENSG00000220201	YES
ENSG00000112182	YES
ENSG00000113430	YES
ENSG00000137265	YES
ENSG00000078399	YES
ENSG00000101665	YES
ENSG00000176024	YES
ENSG00000039600	YES
ENSG00000166925	YES
ENSG00000005102	YES
ENSG00000183621	YES
ENSG00000196628	YES
ENSG00000179456	YES
ENSG00000124232	YES
ENSG00000104903	YES
ENSG00000180828	YES
ENSG00000269693	YES
ENSG00000126456	YES
ENSG00000254004	YES
ENSG00000119608	YES
ENSG00000073282	YES
ENSG00000106006	YES
ENSG00000143006	YES
ENSG00000250709	YES
ENSG00000230797	YES
ENSG00000166478	YES
ENSG00000163939	YES
ENSG00000197608	YES
ENSG00000101126	YES
ENSG00000269404	YES
ENSG00000127152	YES
ENSG00000163795	YES
ENSG00000164600	YES
ENSG00000112658	YES
ENSG00000164458	YES
ENSG00000128709	YES
ENSG00000114853	YES
ENSG00000165512	YES
ENSG00000170448	YES
ENSG00000178229	YES
ENSG00000171817	YES
ENSG00000168875	YES
ENSG00000090447	YES
ENSG00000183734	YES
ENSG00000164683	YES
ENSG00000108001	YES
ENSG00000100219	YES
ENSG00000171466	YES
ENSG00000175325	YES
ENSG00000131264	YES
ENSG00000100146	YES
ENSG00000064489	YES
ENSG00000121417	YES
ENSG00000174652	YES
ENSG00000213015	YES
ENSG00000105261	YES
ENSG00000124613	YES
ENSG00000172238	YES
ENSG00000169136	YES
ENSG00000118513	YES
ENSG00000156150	YES
ENSG00000167182	YES
ENSG00000173451	YES
ENSG00000179348	YES
ENSG00000165556	YES
ENSG00000205927	YES
ENSG00000112246	YES
ENSG00000185219	YES
ENSG00000006047	YES
ENSG00000205189	YES
ENSG00000171649	YES
ENSG00000213020	YES
ENSG00000115844	YES
ENSG00000124782	YES
ENSG00000102145	YES
ENSG00000180535	YES
ENSG00000125285	YES
ENSG00000182759	YES
ENSG00000069011	YES
ENSG00000249459	YES
ENSG00000153779	YES
ENSG00000182568	YES
ENSG00000159263	YES
ENSG00000163064	YES
ENSG00000213799	YES
ENSG00000165606	YES
ENSG00000125952	YES
ENSG00000185730	YES
ENSG00000198795	YES
ENSG00000196670	YES
ENSG00000106571	YES
ENSG00000160062	YES
ENSG00000173875	YES
ENSG00000179059	YES
ENSG00000177426	YES
ENSG00000130544	YES
ENSG00000105419	YES
ENSG00000196357	YES
ENSG00000261459	YES
ENSG00000144355	YES
ENSG00000184221	YES
ENSG00000005436	YES
ENSG00000196418	YES
ENSG00000168795	YES
ENSG00000172006	YES
ENSG00000177311	YES
ENSG00000189190	YES
ENSG00000188909	YES
ENSG00000123095	YES
ENSG00000187987	YES
ENSG00000105991	YES
ENSG00000108788	YES
ENSG00000102804	YES
ENSG00000135625	YES
ENSG00000258873	YES
ENSG00000196268	YES
ENSG00000137504	YES
ENSG00000125813	YES
ENSG00000168286	YES
ENSG00000032219	YES
ENSG00000182318	YES
ENSG00000196350	YES
ENSG00000159905	YES
ENSG00000109101	YES
ENSG00000151379	YES
ENSG00000165588	YES
ENSG00000152284	YES
ENSG00000174796	YES
ENSG00000168310	YES
ENSG00000008197	YES
ENSG00000196793	YES
ENSG00000164330	YES
ENSG00000164900	YES
ENSG00000084093	YES
ENSG00000009307	YES
ENSG00000167528	YES
ENSG00000213988	YES
ENSG00000053254	YES
