ENSEMBL	Is.Cancer.Gene..source..OncoKB.
ENSG00000121410	No
ENSG00000148584	No
ENSG00000175899	No
ENSG00000166535	No
ENSG00000118017	No
ENSG00000081760	No
ENSG00000114771	No
ENSG00000197953	No
ENSG00000188984	No
ENSG00000115977	No
ENSG00000131043	No
ENSG00000205002	No
ENSG00000124608	No
ENSG00000157426	No
ENSG00000149313	No
ENSG00000008311	No
ENSG00000181409	No
ENSG00000183044	No
ENSG00000165029	No
ENSG00000154263	No
ENSG00000144452	No
ENSG00000179869	No
ENSG00000107331	No
ENSG00000167972	No
ENSG00000198691	No
ENSG00000154265	No
ENSG00000154262	No
ENSG00000064687	No
ENSG00000141338	No
ENSG00000154258	No
ENSG00000085563	No
ENSG00000135776	No
ENSG00000073734	No
ENSG00000005471	No
ENSG00000004846	No
ENSG00000115657	No
ENSG00000131269	No
ENSG00000197150	No
ENSG00000150967	No
ENSG00000103222	No
ENSG00000124574	No
ENSG00000121270	No
ENSG00000140798	No
ENSG00000023839	No
ENSG00000108846	No
ENSG00000125257	No
ENSG00000114770	No
ENSG00000091262	No
ENSG00000006071	No
ENSG00000069431	No
ENSG00000173208	No
ENSG00000117528	No
ENSG00000119688	No
ENSG00000204574	No
ENSG00000033050	No
ENSG00000161204	No
ENSG00000160179	No
ENSG00000118777	No
ENSG00000172350	No
ENSG00000138075	No
ENSG00000143921	No
ENSG00000139826	No
ENSG00000114779	No
ENSG00000168792	No
ENSG00000183260	No
ENSG00000107362	No
ENSG00000140526	No
ENSG00000011198	No
ENSG00000163686	No
ENSG00000136754	Yes
ENSG00000138443	No
ENSG00000108798	No
ENSG00000154175	No
ENSG00000097007	Yes
ENSG00000143322	Yes
ENSG00000099204	No
ENSG00000163995	No
ENSG00000173210	No
ENSG00000175164	No
ENSG00000159842	No
ENSG00000146386	No
ENSG00000163322	Yes
ENSG00000165660	No
ENSG00000146109	No
ENSG00000114626	No
ENSG00000166016	No
ENSG00000167315	No
ENSG00000278540	No
ENSG00000076555	No
ENSG00000111271	No
ENSG00000240303	No
ENSG00000151498	No
ENSG00000177646	No
ENSG00000117054	No
ENSG00000196177	No
ENSG00000157766	No
ENSG00000114331	No
ENSG00000131584	No
ENSG00000075239	No
ENSG00000182827	No
ENSG00000181513	No
ENSG00000107897	No
ENSG00000110455	No
ENSG00000205126	No
ENSG00000102977	No
ENSG00000159640	No
ENSG00000130234	No
ENSG00000177076	No
ENSG00000087085	No
ENSG00000100813	No
ENSG00000213088	No
ENSG00000144648	No
ENSG00000144476	Yes
ENSG00000129048	No
ENSG00000153086	No
ENSG00000122729	No
ENSG00000100412	No
ENSG00000184227	No
ENSG00000162390	No
ENSG00000172497	No
ENSG00000112304	No
ENSG00000177465	No
ENSG00000097021	No
ENSG00000161533	No
ENSG00000168306	No
ENSG00000087008	No
ENSG00000153093	No
ENSG00000143727	No
ENSG00000014257	No
ENSG00000142513	No
ENSG00000102575	No
ENSG00000183760	No
ENSG00000134940	No
ENSG00000103740	No
ENSG00000167107	No
ENSG00000176715	No
ENSG00000151726	No
ENSG00000068366	No
ENSG00000197142	No
ENSG00000164398	Yes
ENSG00000183747	No
ENSG00000066813	No
ENSG00000183549	No
ENSG00000154930	No
ENSG00000111058	No
ENSG00000143632	No
ENSG00000075624	Yes
ENSG00000169067	No
ENSG00000159251	No
ENSG00000184009	Yes
ENSG00000163017	No
ENSG00000288649	No
ENSG00000136518	No
ENSG00000077080	No
ENSG00000187003	No
ENSG00000117148	No
ENSG00000181786	No
ENSG00000072110	No
ENSG00000077522	No
ENSG00000130402	No
ENSG00000138107	No
ENSG00000115073	No
ENSG00000138071	No
ENSG00000133627	No
ENSG00000101442	No
ENSG00000075089	No
ENSG00000113812	No
ENSG00000123165	No
ENSG00000169717	No
ENSG00000184378	No
ENSG00000115170	Yes
ENSG00000135503	Yes
ENSG00000123612	No
ENSG00000121989	Yes
ENSG00000139567	No
ENSG00000132744	No
ENSG00000093072	No
ENSG00000164113	No
ENSG00000073670	No
ENSG00000148848	No
ENSG00000143537	No
ENSG00000151694	No
ENSG00000168619	No
