upIWS1 dowIWS1 Normal
TCGA.05.4405.01A 1 0 0
TCGA.05.4415.01A 1 0 0
TCGA.05.5420.01A 0 1 0
TCGA.05.5423.01A 0 1 0
TCGA.05.5428.01A 0 1 0
TCGA.35.5375.01A 0 1 0
TCGA.38.4632.01A 0 1 0
TCGA.44.2656.01A 0 1 0
TCGA.44.2656.01B 0 1 0
TCGA.44.2665.01A 0 1 0
TCGA.44.2666.01A 0 1 0
TCGA.44.2666.01B 0 1 0
TCGA.44.2668.01A 1 0 0
TCGA.44.2668.01B 1 0 0
TCGA.44.3918.01A 0 1 0
TCGA.44.3918.01B 0 1 0
TCGA.44.4112.01A 0 1 0
TCGA.44.4112.01B 0 1 0
TCGA.44.5645.01A 0 1 0
TCGA.44.5645.01B 0 1 0
TCGA.44.6146.01A 0 1 0
TCGA.44.6146.01B 0 1 0
TCGA.44.6147.01A 0 1 0
TCGA.44.6147.01B 0 1 0
TCGA.44.6775.01A 0 1 0
TCGA.44.6775.01C 0 1 0
TCGA.44.6776.01A 1 0 0
TCGA.44.6777.01A 0 1 0
TCGA.44.6778.01A 0 1 0
TCGA.44.7662.01A 1 0 0
TCGA.44.7670.01A 1 0 0
TCGA.44.8119.01A 0 1 0
TCGA.44.A47A.01A 1 0 0
TCGA.44.A47G.01A 1 0 0
TCGA.49.4487.01A 1 0 0
TCGA.49.4488.01A 0 1 0
TCGA.49.4514.01A 1 0 0
TCGA.49.6742.01A 1 0 0
TCGA.49.6761.01A 1 0 0
TCGA.49.AAQV.01A 1 0 0
TCGA.49.AAR4.01A 1 0 0
TCGA.49.AARE.01A 1 0 0
TCGA.49.AARN.01A 1 0 0
TCGA.49.AARQ.01A 1 0 0
TCGA.4B.A93V.01A 1 0 0
TCGA.50.5044.01A 1 0 0
TCGA.50.5045.01A 0 1 0
TCGA.50.5066.01A 0 1 0
TCGA.50.5068.01A 0 1 0
TCGA.50.5072.01A 1 0 0
TCGA.50.5942.01A 0 1 0
TCGA.50.5946.01A 0 1 0
TCGA.50.6593.01A 1 0 0
TCGA.50.6594.01A 1 0 0
TCGA.50.6673.01A 1 0 0
TCGA.53.7624.01A 1 0 0
TCGA.53.A4EZ.01A 1 0 0
TCGA.55.6642.01A 0 1 0
TCGA.55.6712.01A 0 1 0
TCGA.55.6975.01A 1 0 0
TCGA.55.6983.01A 1 0 0
TCGA.55.7281.01A 1 0 0
TCGA.55.7573.01A 1 0 0
TCGA.55.7576.01A 1 0 0
TCGA.55.7724.01A 0 1 0
TCGA.55.7726.01A 1 0 0
TCGA.55.7907.01A 1 0 0
TCGA.55.7910.01A 1 0 0
TCGA.55.7911.01A 1 0 0
TCGA.55.7913.01B 1 0 0
TCGA.55.8505.01A 1 0 0
TCGA.55.8507.01A 1 0 0
TCGA.55.8514.01A 1 0 0
TCGA.55.8615.01A 1 0 0
TCGA.55.8616.01A 1 0 0
TCGA.55.8620.01A 1 0 0
TCGA.55.A491.01A 1 0 0
TCGA.55.A492.01A 1 0 0
TCGA.55.A493.01A 1 0 0
TCGA.55.A4DF.01A 0 1 0
TCGA.62.8395.01A 1 0 0
TCGA.62.8402.01A 1 0 0
TCGA.62.A471.01A 1 0 0
TCGA.64.5778.01A 1 0 0
TCGA.69.7763.01A 1 0 0
TCGA.69.7764.01A 1 0 0
TCGA.69.7973.01A 1 0 0
TCGA.69.7978.01A 1 0 0
TCGA.69.7980.01A 1 0 0
TCGA.69.8253.01A 1 0 0
TCGA.73.4676.01A 0 1 0
TCGA.73.A9RS.01A 1 0 0
TCGA.75.5122.01A 0 1 0
TCGA.75.5146.01A 0 1 0
TCGA.75.5147.01A 0 1 0
TCGA.75.6203.01A 0 1 0
TCGA.75.6206.01A 1 0 0
TCGA.75.6211.01A 1 0 0
TCGA.75.7027.01A 1 0 0
TCGA.78.7149.01A 1 0 0
TCGA.78.7150.01A 1 0 0
TCGA.78.7152.01A 1 0 0
TCGA.78.7160.01A 1 0 0
TCGA.78.7166.01A 1 0 0
TCGA.78.7167.01A 1 0 0
TCGA.78.7220.01A 1 0 0
TCGA.78.7633.01A 1 0 0
TCGA.78.8640.01A 1 0 0
TCGA.78.8660.01A 1 0 0
TCGA.78.8662.01A 1 0 0
TCGA.80.5608.01A 1 0 0
TCGA.86.7713.01A 1 0 0
TCGA.86.8358.01A 0 1 0
TCGA.86.8359.01A 1 0 0
TCGA.86.8672.01A 1 0 0
TCGA.86.8673.01A 1 0 0
TCGA.86.8674.01A 1 0 0
TCGA.86.A4P8.01A 0 1 0
TCGA.91.6829.01A 0 1 0
TCGA.91.6836.01A 1 0 0
TCGA.91.8496.01A 0 1 0
TCGA.93.A4JP.01A 0 1 0
TCGA.95.7567.01A 1 0 0
TCGA.95.7944.01A 1 0 0
TCGA.95.7948.01A 1 0 0
TCGA.95.8039.01A 1 0 0
TCGA.95.8494.01A 1 0 0
TCGA.95.A4VK.01A 1 0 0
TCGA.97.7937.01A 1 0 0
TCGA.97.8171.01A 1 0 0
TCGA.97.8176.01A 1 0 0
TCGA.97.A4M3.01A 1 0 0
TCGA.97.A4M5.01A 1 0 0
TCGA.99.7458.01A 0 1 0
TCGA.L9.A443.01A 1 0 0
TCGA.L9.A444.01A 0 1 0
TCGA.L9.A5IP.01A 1 0 0
TCGA.MN.A4N1.01A 1 0 0
TCGA.MP.A4T7.01A 1 0 0
TCGA.MP.A4TE.01A 1 0 0
TCGA.NJ.A4YG.01A 1 0 0
TCGA.NJ.A4YI.01A 1 0 0
TCGA.38.4632.11A 0 0 1
TCGA.44.2655.11A 0 0 1
TCGA.44.2662.11A 0 0 1
TCGA.44.2665.11A 0 0 1
TCGA.44.2668.11A 0 0 1
TCGA.44.5645.11A 0 0 1
TCGA.44.6144.11A 0 0 1
TCGA.44.6145.11A 0 0 1
TCGA.44.6146.11A 0 0 1
TCGA.44.6147.11A 0 0 1
TCGA.44.6148.11A 0 0 1
TCGA.44.6778.11A 0 0 1
TCGA.49.6745.11A 0 0 1
TCGA.50.5930.11A 0 0 1
TCGA.50.5931.11A 0 0 1
TCGA.50.5932.11A 0 0 1
TCGA.50.5933.11A 0 0 1
TCGA.50.5935.11A 0 0 1
TCGA.50.5936.11A 0 0 1
TCGA.50.5939.11A 0 0 1
TCGA.73.4676.11A 0 0 1
