ENSEMBL	upIWS1	dowIWS1
ENSG00000000419	UNMUT	UNMUT
ENSG00000000457	UNMUT	UNMUT
ENSG00000000971	MUT	UNMUT
ENSG00000001036	UNMUT	UNMUT
ENSG00000001084	UNMUT	UNMUT
ENSG00000001460	UNMUT	UNMUT
ENSG00000001461	UNMUT	UNMUT
ENSG00000001497	UNMUT	UNMUT
ENSG00000001617	UNMUT	UNMUT
ENSG00000001626	UNMUT	UNMUT
ENSG00000001629	UNMUT	UNMUT
ENSG00000002549	UNMUT	UNMUT
ENSG00000002586	UNMUT	UNMUT
ENSG00000002587	UNMUT	UNMUT
ENSG00000002726	UNMUT	UNMUT
ENSG00000002745	UNMUT	UNMUT
ENSG00000002746	MUT	UNMUT
ENSG00000002822	UNMUT	UNMUT
ENSG00000002834	UNMUT	UNMUT
ENSG00000002919	UNMUT	UNMUT
ENSG00000002933	UNMUT	UNMUT
ENSG00000003096	UNMUT	UNMUT
ENSG00000003137	UNMUT	UNMUT
ENSG00000003393	MUT	UNMUT
ENSG00000003402	UNMUT	UNMUT
ENSG00000003436	UNMUT	UNMUT
ENSG00000003756	UNMUT	UNMUT
ENSG00000003987	UNMUT	UNMUT
ENSG00000003989	UNMUT	UNMUT
ENSG00000004059	UNMUT	UNMUT
ENSG00000004139	UNMUT	UNMUT
ENSG00000004142	UNMUT	UNMUT
ENSG00000004399	UNMUT	UNMUT
ENSG00000004487	UNMUT	UNMUT
ENSG00000004534	UNMUT	UNMUT
ENSG00000004660	UNMUT	UNMUT
ENSG00000004766	UNMUT	UNMUT
ENSG00000004777	UNMUT	UNMUT
ENSG00000004799	UNMUT	UNMUT
ENSG00000004809	UNMUT	UNMUT
ENSG00000004846	MUT	UNMUT
ENSG00000004864	UNMUT	UNMUT
ENSG00000004866	UNMUT	UNMUT
ENSG00000004897	UNMUT	UNMUT
ENSG00000004939	UNMUT	UNMUT
ENSG00000004948	MUT	UNMUT
ENSG00000004961	UNMUT	UNMUT
ENSG00000004975	UNMUT	UNMUT
ENSG00000005001	UNMUT	UNMUT
ENSG00000005020	UNMUT	UNMUT
ENSG00000005073	UNMUT	UNMUT
ENSG00000005102	UNMUT	UNMUT
ENSG00000005108	MUT	MUT
ENSG00000005156	UNMUT	UNMUT
ENSG00000005175	UNMUT	UNMUT
ENSG00000005194	UNMUT	UNMUT
ENSG00000005238	UNMUT	UNMUT
ENSG00000005302	UNMUT	UNMUT
ENSG00000005339	MUT	UNMUT
ENSG00000005379	UNMUT	UNMUT
ENSG00000005381	UNMUT	UNMUT
ENSG00000005421	UNMUT	UNMUT
ENSG00000005436	UNMUT	UNMUT
ENSG00000005448	UNMUT	UNMUT
ENSG00000005469	UNMUT	UNMUT
ENSG00000005471	UNMUT	UNMUT
ENSG00000005483	UNMUT	UNMUT
ENSG00000005486	UNMUT	UNMUT
ENSG00000005700	UNMUT	UNMUT
ENSG00000005801	UNMUT	UNMUT
ENSG00000005810	MUT	UNMUT
ENSG00000005844	MUT	UNMUT
ENSG00000005884	UNMUT	UNMUT
ENSG00000005893	UNMUT	UNMUT
ENSG00000005961	UNMUT	UNMUT
ENSG00000005981	UNMUT	UNMUT
ENSG00000006016	UNMUT	UNMUT
ENSG00000006025	UNMUT	UNMUT
ENSG00000006047	UNMUT	UNMUT
ENSG00000006059	UNMUT	UNMUT
ENSG00000006071	UNMUT	UNMUT
ENSG00000006116	UNMUT	UNMUT
ENSG00000006118	UNMUT	UNMUT
ENSG00000006128	UNMUT	UNMUT
ENSG00000006194	UNMUT	UNMUT
ENSG00000006210	UNMUT	UNMUT
ENSG00000006282	UNMUT	UNMUT
ENSG00000006283	UNMUT	UNMUT
ENSG00000006432	UNMUT	UNMUT
ENSG00000006451	UNMUT	UNMUT
ENSG00000006453	UNMUT	UNMUT
ENSG00000006459	UNMUT	UNMUT
ENSG00000006530	UNMUT	UNMUT
ENSG00000006534	UNMUT	UNMUT
ENSG00000006555	UNMUT	UNMUT
ENSG00000006576	UNMUT	UNMUT
ENSG00000006607	UNMUT	UNMUT
ENSG00000006611	UNMUT	UNMUT
ENSG00000006634	UNMUT	UNMUT
ENSG00000006638	UNMUT	UNMUT
ENSG00000006652	UNMUT	UNMUT
ENSG00000006659	UNMUT	UNMUT
ENSG00000006695	UNMUT	UNMUT
ENSG00000006704	UNMUT	UNMUT
ENSG00000006712	UNMUT	UNMUT
ENSG00000006715	UNMUT	UNMUT
ENSG00000006740	UNMUT	UNMUT
ENSG00000006744	UNMUT	UNMUT
ENSG00000006747	UNMUT	UNMUT
ENSG00000006756	UNMUT	UNMUT
ENSG00000006757	UNMUT	UNMUT
ENSG00000006788	MUT	UNMUT
