ENSEMBL	upIWS1	dowIWS1
ENSG00000125482	UNDERP	OVERP
ENSG00000097007	OVERP	UNDERP
ENSG00000278540	OVERP	UNDERP
ENSG00000278540	OVERP	UNDERP
ENSG00000278540	UNDERP	OVERP
ENSG00000278540	UNDERP	OVERP
ENSG00000076555	UNDERP	OVERP
ENSG00000139567	OVERP	UNDERP
ENSG00000160710	UNDERP	OVERP
ENSG00000142208	UNDERP	OVERP
ENSG00000142208	UNDERP	OVERP
ENSG00000142208	UNDERP	OVERP
ENSG00000142208	OVERP	UNDERP
ENSG00000142208	OVERP	UNDERP
ENSG00000142208	OVERP	UNDERP
ENSG00000142208	UNDERP	OVERP
ENSG00000142208	UNDERP	OVERP
ENSG00000142208	UNDERP	OVERP
ENSG00000204673	OVERP	UNDERP
ENSG00000105221	UNDERP	OVERP
ENSG00000105221	UNDERP	OVERP
ENSG00000105221	UNDERP	OVERP
ENSG00000105221	UNDERP	OVERP
ENSG00000105221	UNDERP	OVERP
ENSG00000105221	UNDERP	OVERP
ENSG00000105221	OVERP	UNDERP
ENSG00000105221	OVERP	UNDERP
ENSG00000105221	OVERP	UNDERP
ENSG00000117020	UNDERP	OVERP
ENSG00000117020	UNDERP	OVERP
ENSG00000117020	UNDERP	OVERP
ENSG00000117020	UNDERP	OVERP
ENSG00000117020	UNDERP	OVERP
ENSG00000117020	UNDERP	OVERP
ENSG00000117020	OVERP	UNDERP
ENSG00000117020	OVERP	UNDERP
ENSG00000117020	OVERP	UNDERP
ENSG00000135046	UNDERP	OVERP
ENSG00000138279	OVERP	UNDERP
ENSG00000169083	UNDERP	OVERP
ENSG00000078061	UNDERP	OVERP
ENSG00000078061	UNDERP	OVERP
ENSG00000078061	UNDERP	OVERP
ENSG00000078061	UNDERP	OVERP
ENSG00000117713	UNDERP	OVERP
ENSG00000070669	OVERP	UNDERP
ENSG00000149311	UNDERP	OVERP
ENSG00000167601	UNDERP	OVERP
ENSG00000002330	UNDERP	OVERP
ENSG00000030110	UNDERP	OVERP
ENSG00000163930	OVERP	UNDERP
ENSG00000087088	OVERP	UNDERP
ENSG00000171791	UNDERP	OVERP
ENSG00000140379	OVERP	UNDERP
ENSG00000171552	OVERP	UNDERP
ENSG00000153094	OVERP	UNDERP
ENSG00000126581	UNDERP	OVERP
ENSG00000015475	UNDERP	OVERP
ENSG00000110330	OVERP	UNDERP
ENSG00000157764	UNDERP	OVERP
ENSG00000157764	UNDERP	OVERP
ENSG00000157764	UNDERP	OVERP
ENSG00000157764	UNDERP	OVERP
ENSG00000139618	OVERP	UNDERP
ENSG00000141867	UNDERP	OVERP
NULL	OVERP	UNDERP
ENSG00000164305	OVERP	UNDERP
ENSG00000165806	OVERP	UNDERP
ENSG00000064012	OVERP	UNDERP
ENSG00000132906	OVERP	UNDERP
ENSG00000105974	UNDERP	OVERP
ENSG00000134057	OVERP	UNDERP
ENSG00000110092	OVERP	UNDERP
ENSG00000105173	OVERP	UNDERP
ENSG00000175305	OVERP	UNDERP
NULL	OVERP	UNDERP
ENSG00000120217	UNDERP	OVERP
ENSG00000039068	OVERP	UNDERP
ENSG00000170558	OVERP	UNDERP
ENSG00000062038	UNDERP	OVERP
ENSG00000170312	OVERP	UNDERP
ENSG00000170312	OVERP	UNDERP
ENSG00000170312	OVERP	UNDERP
ENSG00000170312	OVERP	UNDERP
ENSG00000124762	OVERP	UNDERP
ENSG00000111276	OVERP	UNDERP
ENSG00000111276	OVERP	UNDERP
ENSG00000111276	OVERP	UNDERP
ENSG00000111276	UNDERP	OVERP
ENSG00000111276	UNDERP	OVERP
ENSG00000111276	UNDERP	OVERP
ENSG00000111276	UNDERP	OVERP
